customer_msg,agent_msg
아니 가이드가 한국말을 너무 못해서 뭔소린지 하나도 모르겠어 바꿔줘요,"지금 손님들이 현지 가이드분 한국어 소통 문제로 컴플레인이 좀 있으시네요 ㅠㅠ 혹시 내일 일정부터는 한국어 능통하신 분으로 교체 가능할까요? 부탁드립니다."
우리 애가 갑자기 열이 펄펄 끓어서 내일 호핑투어는 못갈거같은데 환불 되나요?,"내일 호핑투어 예약된 김철수님 팀 아동이 갑자기 고열이라 투어 참여가 어렵다고 하십니다. 긴급 취소 건인데 혹시 환불 규정 어떻게 적용될지 확인해주실 수 있을까요?"
마지막날 공항 가기전에 쇼핑센터 들렀다 가도 되죠?,"손님들이 귀국일 공항 가기 전에 쇼핑센터 잠깐 들르고 싶어 하시는데 동선이랑 시간 괜찮을까요? 확인 부탁드려요~"
비행기표 아직 멀었나요? 여권 보낸지가 언젠데,"아까 보내드린 여권으로 항공권 발권 진행 중이실까요? 손님이 기다리고 계셔서 E-티켓 나오는 대로 바로 전달 좀 부탁드릴게요!"
다낭 픽업 차량 기사님 팁은 얼마나 줘야 하나요?,손님들이 공항 픽업 기사님 팁을 따로 챙겨드려야 하는지 물어보시네요. 보통 얼마 정도 안내하면 될까요?
호텔 조식 포함인가요? 애들은 공짜죠?,"이번에 예약한 리조트 조식 포함 여부랑 아동 조식 비용 규정 다시 한번만 확인 부탁드릴게요. 손님이 무료인지 궁금해하셔서요."
골프장 카트비랑 캐디피는 가서 내면 되나요? 달러로 받나요?,"골프장 카트비랑 캐디피 현장 지불 맞죠? 손님들이 달러로 준비해가야 하는지 현지 화폐로 해야 하는지 물어보시는데 확인 좀 부탁드려요."
방금 공항 도착했는데 가이드가 안보여요 어디있는거에요,"지금 손님들 공항 도착하셨다는데 미팅 보드 든 가이드분을 못 찾고 계신대요. 가이드분 위치 확인해서 손님께 바로 연락 좀 부탁드릴게요!"
내일 마사지 예약 시간을 좀 늦출 수 있을까요? 저녁 먹고 천천히 가고 싶은데,"내일 마사지 예약 시간을 저녁 식사 후로 변경 원하시는데 8시쯤으로 조정 가능할까요? 샵 스케줄 확인 부탁드립니다."
여기 호텔 수영장 물이 너무 더러워요 애들 놀게 못되는데 방 바꿔주던지 환불해줘요,"지금 투숙 중인 호텔 수영장 수질 문제로 손님 컴플레인이 심각합니다. 룸 변경이나 다른 조치가 가능할지 호텔 측에 강력하게 클레임 좀 넣어주세요."
가이드 팁은 하루에 얼마씩 주면 되나요? 의무인가요?,"가이드 경비 외에 매너 팁 관련해서 손님 문의가 있으신데, 보통 하루에 얼마 정도 권장하면 될까요? 의무 사항인지도 같이 확인 부탁드려요."
패키지 일정이 너무 빡빡해서 힘드네요 내일 오전 일정은 좀 빼주세요,"손님들이 일정이 너무 타이트하다고 힘들어하시네요 ㅠㅠ 내일 오전 일정은 스킵하고 호텔에서 좀 쉬시게 조정 가능할까요?"
현지에서 유심칩 살 수 있는데 알려주세요 로밍을 안해와서,"손님들이 로밍을 안 해오셔서 현지 유심 구매처를 찾으시네요. 가이드분 통해서 구매 도와드릴 수 있을까요?"
식당 밥이 입에 너무 안맞아요 향신료 냄새 때문에 못먹겠는데 한식으로 바꿔줘요,"손님들이 현지식 향신료 때문에 식사를 거의 못 하셨다고 하네요 ㅠㅠ 내일 점심은 혹시 한식당으로 변경 가능할까요?"
옵션 투어 강요 안한다고 했는데 가이드가 자꾸 눈치주네요 기분 나빠서 여행 못하겠어요,"가이드분이 옵션 투어 권유를 좀 강하게 하셨나 봐요. 손님들이 불편해하시는데 가이드분께 살짝 언질 좀 부탁드려요. 강요 느낌 안 들게 신경 써달라고요 ㅠㅠ"
호텔 방에서 바다가 하나도 안보여요 오션뷰로 예약한거 아니에요?,"손님들이 배정받은 객실이 오션뷰가 아니라고 하시네요. 예약 시 오션뷰로 요청드렸던 건인데 혹시 룸 변경 가능할지 호텔 프론트랑 확인 좀 부탁드릴게요."
내일 골프 티업 시간 7시 너무 빨라요 9시쯤으로 안될까요?,"내일 골프 티업 시간이 7시라 손님들이 너무 이르다고 하시네요. 혹시 9시 전후로 시간 변경 가능할지 골프장 체크 한번 부탁드립니다."
쇼핑센터 방문 횟수 좀 줄여주세요 살것도 없는데 시간 아까워요,"손님들이 쇼핑센터 방문 횟수 때문에 불만이 좀 있으세요. 남은 일정에서 쇼핑 1회 정도는 줄이거나 시간 단축 가능할까요?"
귀국편 비행기 좌석 붙여서 갈 수 있게 해주세요,"귀국편 항공 좌석 사전 지정 가능한가요? 일행분들 떨어지지 않게 붙여서 배정되도록 신경 좀 써주세요~"
호텔에 엑스트라 베드 추가해달라고 했는데 아직도 안왔어요,"체크인하신 지 좀 됐는데 요청한 엑스트라 베드가 아직 세팅 안 됐다고 하시네요. 호텔 측에 다시 한번 푸시 부탁드려요!"
저녁에 자유시간 때 갈만한 맛집 추천 좀 해주세요,"오늘 저녁 자유 일정 때 손님들이 가실 만한 현지 맛집 추천 좀 부탁드려요~ 가이드분 통해서 리스트 좀 전달해주시면 감사하겠습니다!"
비가 너무 많이 오는데 오늘 일정 그대로 진행하나요?,"현지 비가 많이 온다는데 오늘 투어 일정 그대로 진행되나요? 혹시 우천 시 대체 일정이나 취소 규정 어떻게 되는지 확인 부탁드려요."
가이드가 약속 시간에 30분이나 늦었어요 사과도 없고 뭐 이런 경우가 다 있어요?,"오늘 아침 미팅 시간에 가이드분이 30분 지각하셨다네요. 손님들이 많이 화나셨는데 가이드분께 정중히 사과드리라고 꼭 좀 전해주세요."
방콕 호텔 보증금은 카드로 결제했다가 취소하면 언제 들어오나요?,"호텔 디파짓 카드 결제 취소 관련해서 손님 문의가 있으신데, 보통 환불까지 기간이 얼마나 걸리는지 안내 좀 부탁드릴게요."
3일차 일정에 있는 사원 방문 빼고 마사지나 한번 더 받고 싶은데,"3일차 사원 관광 대신 마사지 1회 추가하는 걸로 일정 변경 가능할까요? 추가 비용 발생하면 얼마나 되는지도 알려주세요."
싱글룸 쓴다고 돈 더 냈는데 방이 왜 이렇게 좁아요?,"싱글차지 지불하신 손님이 방 크기에 불만이 있으시네요 ㅠㅠ 혹시 룸 업그레이드나 좀 더 넓은 방으로 교체 가능할지 확인 부탁드립니다."
공항 샌딩 시간 좀 늦춰주세요 면세점 구경 좀 더 하게요,"귀국일 공항 샌딩 시간을 1시간 정도 늦출 수 있을까요? 손님들이 시내 면세점 쇼핑을 좀 더 하고 싶어 하셔서요."
골프채 렌탈 비용이 너무 비싼거 아니에요? 좀 깎아줘요,"현지 골프채 렌탈 비용이 생각보다 비싸다고 하시네요. 단체 손님이니 조금 네고 가능할지 렌탈샵이랑 조율 한번 부탁드려요~"
저희 팀 10명인데 저녁에 다같이 술 한잔 할 수 있는 룸 있는 식당 예약해주세요,"10분 단체 손님 저녁 회식 장소 섭외 부탁드려요. 룸 있고 우리끼리 편하게 술 마실 수 있는 곳으로 예약 좀 해주세요!"
가이드 연락처 좀 알려주세요 급한데 연락이 안돼요,"손님이 가이드분과 연락이 안 된다고 하시네요. 비상 연락망이나 가이드분 현지 번호 다시 한번 확인해서 알려주세요."
호텔 조식 메뉴가 매일 똑같아서 지겨워요,"3일 내내 조식 메뉴가 똑같다고 손님들이 좀 질려하시네요 ^^; 혹시 내일 아침은 외부 식당이나 다른 메뉴로 대체 가능할지 확인 부탁드려요."
선택관광 안하면 차에만 있어야 하나요?,"선택관광 미참여 시 대기 장소가 차 안인지, 아니면 카페나 쉴 곳이 있는지 손님들이 궁금해하십니다. 정확한 대기 장소 안내 부탁드려요."
여행자 보험 증서 영문으로 보내줄 수 있나요? 현지 병원 가려구요,"손님이 현지 병원 가신다고 여행자 보험 영문 가입 증명서 요청하셨어요. 보험사 확인해서 파일 좀 보내주실 수 있을까요?"
오늘 묵는 풀빌라 온수풀 추가 비용 있나요?,"오늘 투숙하는 풀빌라 온수풀 사용료 별도인가요? 손님이 물어보시는데 포함인지 불포함인지 확인 부탁드려요."
가이드가 사진을 너무 못 찍어줘요 남는 건 사진뿐인데,"가이드분이 사진을 너무 대충 찍어주신다고 손님들이 서운해하시네요 ㅎㅎ; 다음 관광지부터는 인증샷 좀 신경 써서 찍어달라고 부탁 좀 드려요~"
버스 에어컨이 너무 약해서 쪄죽겠어요 차 좀 바꿔주세요,"이동 차량 에어컨이 너무 약해서 손님들이 덥다고 난리시네요 ㅠㅠ 차량 점검이나 교체 가능한지 긴급 확인 부탁드립니다!"
망고랑 망고스틴 좀 많이 사다주세요 돈은 드릴게,"손님들이 망고랑 망고스틴 구매를 원하시는데 가이드분 통해서 시장 들르거나 대리 구매 가능할까요? 비용은 지불하신다고 합니다."
마지막 날 체크아웃 하고 짐 보관할 데 있나요?,"마지막 날 체크아웃 후에 공항 가기 전까지 캐리어 보관할 곳이 마땅치 않다고 하시네요. 차량에 보관 가능한지 아니면 호텔에 맡겨야 하는지 확인 부탁드려요."
현지 가이드 팁 달러로 줬는데 거스름돈을 안줘요,"손님이 가이드 팁을 큰 단위 달러로 주셨는데 잔돈을 못 받으셨대요. 가이드분께 확인해서 잔돈 챙겨드리라고 전해주세요~"
일정에 있는 쇼핑센터에서 산 라텍스 베개 환불하고 싶어요,"어제 쇼핑센터에서 구매하신 라텍스 제품 환불 원하시는데 규정이 어떻게 되나요? 아직 개봉 안 하셨다고 합니다."
저녁에 야시장 투어 가고 싶은데 위험하진 않나요?,"손님들이 개별적으로 야시장 구경 가고 싶어 하시는데 치안 괜찮을까요? 가이드분이 동행해주실 수 있는지 아니면 주의사항 안내해주실 수 있는지 확인 부탁드려요."
호텔 와이파이가 너무 느려서 답답해요,"객실 와이파이 속도가 너무 느려서 업무를 못 보신다고 하시네요. 호텔 측에 공유기 점검이나 조치 좀 요청해주세요."
골프 치는데 앞팀이 너무 밀려서 짜증나요 진행 좀 빨리 하게 해줘요,"골프장 진행이 너무 밀린다고 손님들이 컴플레인 중이세요. 마샬 불러서 앞팀 진행 좀 빨리 빼달라고 요청 부탁드립니다."
가이드가 너무 말이 많아서 시끄러워요 조용히 좀 가고 싶어요,"가이드분이 설명해주시는 건 좋은데 너무 쉴 새 없이 말씀하셔서 손님들이 좀 피곤해하시네요 ^^; 이동 중에는 휴식 시간 좀 드리라고 살짝 말씀 부탁드려요."
내일 아침 픽업 시간 10분만 늦춰주세요 짐 쌀 시간이 부족해요,"내일 체크아웃 준비 때문에 로비 미팅 시간 10분만 늦출 수 있을까요? 기사님과 가이드분께 양해 좀 부탁드립니다."
비행기 지연돼서 늦게 도착하는데 픽업 기사 기다려주나요?,"항공편 지연으로 도착 시간이 1시간 정도 늦어질 것 같습니다. 픽업 기사님 철수하지 말고 기다려주시라고 꼭 좀 전달해주세요!"
호텔 냉장고가 안 시원해요 맥주가 미지근해요,"객실 냉장고 성능이 안 좋아서 음료가 안 시원하대요. 냉장고 교체나 수리 가능한지 프론트에 얘기 좀 해주세요."
일정에 포함된 마사지 팁은 얼마 줘야 적당해요?,"패키지 포함 마사지 받고 나서 테라피스트 팁은 얼마 정도가 적당한가요? 손님들께 가이드라인 안내 좀 부탁드려요."
가이드가 추천해준 식당 너무 비싸고 맛없어요 바가지 쓴 거 같아요,"가이드 추천 식당 가격 대비 퀄리티가 너무 떨어진다고 손님들이 불만이세요. 다음 식사는 좀 더 검증된 곳으로 안내 부탁드립니다."
여권 잃어버린 거 같아요 호텔에 두고 왔나 확인 좀 해주세요,"긴급입니다! 손님이 여권을 분실하신 것 같다고 하시는데 아까 체크아웃한 호텔 객실에 있는지 확인 좀 부탁드릴게요. 금고 안에 두셨을 수도 있다고 합니다."
비가 너무 많이 와서 골프 못 칠 거 같은데 취소하면 환불 되나요?,"현지 기상 악화로 골프 라운딩이 어려울 것 같다고 손님 문의가 오네요. 우천 취소 시 환불 규정이 어떻게 되는지 골프장 측 확인 부탁드립니다."
항공권 이티켓에 제 이름 철자가 틀렸어요 여권이랑 다른데 어떡하죠?,"발권된 항공권 영문명에 오타가 있다고 하네요. 여권이랑 스펠링이 달라서 수정해야 할 것 같은데 긴급 변경 가능할까요?"
호텔 갔더니 방이 꽉 찼다고 다른 호텔로 가라는데 이게 무슨 일이에요?,"지금 손님들이 호텔 도착하셨는데 오버부킹으로 입실이 안 된다고 하십니다. 대체 호텔 등급이랑 이동편 어떻게 되는지 빨리 확인해서 조치 좀 부탁드려요!"
골프백이 아직 안 나왔어요 비행기에서 안 실린 거 같아요,"공항 도착했는데 손님 골프백이 수하물에서 안 나왔다고 하네요. 분실 신고 절차랑 렌탈 클럽 지원 가능한지 확인 부탁드립니다."
가이드가 쇼핑 강요해서 안 산다고 했더니 화냈어요,"쇼핑센터에서 물건 안 산다고 했더니 가이드분이 불쾌한 티를 냈다고 손님이 화가 많이 나셨어요. 가이드분께 주의 좀 주셔야 할 것 같습니다."
호텔 조식 먹다가 음식에서 벌레 나왔어요,"호텔 조식 뷔페 음식에서 이물질이 나왔다고 컴플레인이 들어왔습니다. 호텔 측 사과랑 보상 방안 확인 좀 부탁드려요."
일행 중 한 명이 다리를 다쳤는데 휠체어 대여할 수 있나요?,"손님 한 분이 발목을 다치셔서 거동이 불편하신데 현지에서 휠체어 대여 가능한 곳 있을까요? 일정 소화 가능한지도 같이 봐주세요."
현지 유심 꼈는데 데이터가 안 터져요 불량인 거 같은데,"가이드분 통해 구매한 유심이 작동을 안 한다고 하네요. 교환이나 환불 가능한지 확인해서 손님께 안내 부탁드려요."
마사지 받다가 너무 아파서 살살 해달라고 했는데 못 알아들어요,"마사지사가 의사소통이 안 돼서 손님이 불편해하셨다네요. 다음 마사지 샵은 한국어 가능한 매니저 있는 곳이나 소통 잘 되는 곳으로 배정 부탁드려요."
저녁 식사 메뉴에 알러지 있는 음식이 나왔어요 미리 말했는데,"식사 메뉴에 손님 알러지 유발 재료가 포함돼서 컴플레인이 있습니다. 사전 고지드렸던 부분인데 식당 측에 강력하게 항의 부탁드립니다."
호텔 수영장 공사 중이라 이용 못한다는데 미리 말 안해줬잖아요,"호텔 수영장이 보수 공사 중이라 이용 불가라고 하네요. 사전에 공지 못 받은 부분이라 손님들이 대체 서비스나 보상을 원하시는데 확인 부탁드려요."
가이드가 팁 달라고 너무 노골적으로 요구해요,"가이드분이 팁 요구를 너무 부담스럽게 하신다고 손님들이 기분 나빠하세요. 팁은 자율적으로 하도록 교육 좀 다시 부탁드립니다."
골프장 잔디 상태가 너무 엉망이에요 돈 아까워요,"골프장 페어웨이랑 그린 관리가 너무 안 되어 있다고 손님들이 실망이 크십니다. 남은 라운딩은 좀 더 상태 좋은 코스로 변경 가능할까요?"
호텔 방 에어컨에서 냄새가 너무 심하게 나요,"객실 에어컨에서 곰팡이 냄새가 심해서 머리가 아프다고 하시네요. 룸 체인지나 필터 청소 긴급 요청 부탁드립니다."
패키지 포함된 과일 바구니가 왜 안 와요?,"일정표에 포함된 웰컴 과일 바구니가 객실에 없다고 하네요. 호텔 측에 확인해서 바로 넣어달라고 요청해주세요."
가이드가 운전하면서 계속 핸드폰 봐요 불안해 죽겠어요,"가이드분이 운전 중에 휴대폰을 계속 사용하셔서 손님들이 불안해하십니다. 안전 운전 하시라고 꼭 좀 주의 부탁드려요!"
식당 위생 상태가 너무 더러워요 파리 날아다니고,"오늘 점심 식당 위생이 너무 안 좋았다고 하시네요. 파리도 많고 식기도 지저분했다고 하니 다음 식당은 위생적인 곳으로 신경 써주세요."
일정에 있는 공연 안 보고 그냥 호텔 가서 쉬고 싶어요,"저녁 공연 관람 일정 취소하고 그냥 호텔 가서 쉬고 싶어 하시는데 가능할까요? 환불은 안 돼도 괜찮다고 하십니다."
호텔 체크아웃 했는데 지갑을 두고 온 거 같아요,"체크아웃 후 이동 중인데 객실에 지갑을 두고 오신 것 같대요. 호텔 하우스키핑에 긴급 확인 요청 부탁드립니다."
가이드가 약속한 쇼핑 물품을 안 챙겨줬어요,"귀국 공항인데 가이드분이 챙겨주기로 한 쇼핑 물품을 못 받으셨다네요. 공항으로 가져다주실 수 있는지 확인 부탁드려요."
비행기 결항돼서 하루 더 묵어야 하는데 호텔 좀 알아봐주세요,"태풍으로 항공편 결항돼서 체류가 길어졌습니다. 오늘 묵을 수 있는 가성비 좋은 호텔 수배 좀 부탁드려요."
골프 치다가 카트가 고장 나서 한참 기다렸어요,"라운딩 중에 카트 고장으로 지체돼서 흐름이 끊겼다고 불만이십니다. 골프장 측에 서비스 홀이나 음료 제공 가능한지 확인해봐 주세요."
호텔 조식 시간에 사람이 너무 많아서 밥을 못 먹었어요,"조식당 대기가 너무 길어서 식사를 제대로 못 하셨다네요. 내일은 좀 덜 붐비는 시간대 안내나 도시락 대체 가능한지 확인 부탁드려요."
가이드가 설명도 안 해주고 차에서 잠만 자요,"이동 중에 가이드분이 설명은커녕 주무시기만 한다고 손님들이 황당해하십니다. 성실하게 가이딩 해달라고 말씀 좀 전해주세요."
선택관광 비용이 다른 팀보다 비싼 거 같아요,"다른 여행사 팀이랑 비교했을 때 선택관광 비용이 비싸다고 하시네요. 포함 내역이나 차이점 설명 자료 좀 부탁드립니다."
호텔 욕실 배수가 안 돼서 물바다 됐어요,"객실 욕실 배수가 막혀서 물이 안 빠진다고 합니다. 정비팀 빨리 올려보내서 뚫어달라고 요청해주세요."
가이드가 반말을 섞어서 해요 기분 나빠요,"가이드분이 손님들께 은근슬쩍 반말을 섞어 쓰셔서 기분 상해하십니다. 존칭 사용하시도록 주의 부탁드려요."
일정에 없던 쇼핑센터를 왜 데려가요?,"일정표에 없는 쇼핑센터를 방문했다고 컴플레인이 들어왔습니다. 사전에 협의되지 않은 일정 진행 자제 부탁드립니다."
식당 음식이 너무 늦게 나와서 일정 다 꼬였어요,"점심 식사가 너무 늦게 나와서 다음 일정이 지연됐다고 하네요. 식당 예약 시간이랑 서빙 속도 체크 좀 부탁드려요."
호텔 뷰 업그레이드 비용 냈는데 시티뷰에요,"오션뷰 업그레이드 비용 지불했는데 시티뷰 배정받으셨다네요. 차액 환불이나 룸 변경 즉시 처리 부탁드립니다."
가이드가 술 냄새 풍기면서 나왔어요,"아침 미팅 때 가이드분한테서 술 냄새가 났다고 손님들이 불쾌해하십니다. 음주 가이딩 절대 안 되도록 강력하게 경고 부탁드려요."
골프장 캐디가 라이도 못 보고 너무 초보에요,"캐디 전문성이 너무 떨어진다고 교체 요청하셨습니다. 후반 홀은 좀 더 베테랑 캐디로 배정 부탁드려요."
호텔 수영장 물이 너무 차가워서 못 들어가겠어요,"수영장 물이 너무 차가워서 아이들이 이용을 못 한다고 하네요. 온수풀 가동 중인지 온도 체크 좀 부탁드립니다."
가이드가 개인적인 심부름을 시켜요,"가이드분이 손님한테 면세점 담배 구매 부탁을 하셨다네요. 사적인 심부름 시키지 않도록 교육 부탁드립니다."
차량 기사님이 운전을 너무 험하게 해요 멀미 나요,"기사님 급정거, 급출발이 심해서 손님들이 멀미 호소하십니다. 안전하고 부드럽게 운전해달라고 전달해주세요."
호텔 방음이 너무 안 돼서 잠을 못 잤어요,"옆방 소음 때문에 잠을 설치셨다고 하네요. 방음 잘 되는 조용한 방으로 교체 가능한지 확인 부탁드려요."
가이드가 식사 시간에 눈치 없이 같이 앉아서 먹어요,"손님들끼리 오붓하게 식사하고 싶은데 가이드분이 자꾸 합석하신다네요. 식사 때는 자리 좀 비켜드리라고 말씀해주세요."
일정에 있는 마사지 샵이 너무 허름해요,"패키지 마사지 샵 시설이 너무 낙후됐다고 불만이십니다. 좀 더 깔끔하고 쾌적한 곳으로 변경 가능할까요?"
호텔 어메니티가 너무 부족해요 샴푸랑 수건 좀 더 줘요,"객실에 수건이랑 어메니티가 인원수대로 세팅이 안 돼 있대요. 넉넉하게 채워달라고 하우스키핑에 전달해주세요."
가이드가 손님들한테 짜증을 내요,"일정이 좀 지체되니까 가이드분이 짜증을 내셨다네요. 아무리 힘들어도 손님께 감정 드러내지 않도록 주의 부탁드립니다."
골프장 그늘집 음식 값이 너무 비싸요,"그늘집 식음료 가격이 터무니없이 비싸다고 하시네요. 외부 음식 반입 가능한지 아니면 좀 저렴한 메뉴 있는지 확인 부탁드려요."
호텔 조식 포함인데 명단에 없다고 돈 내래요,"조식당 입구에서 명단 누락으로 입장을 제지당했다고 하십니다. 바우처 확인해서 바로 입장 가능하게 조치해주세요."
가이드가 약속한 과일 바구니 안 줘서 삐졌어요,"가이드분이 서비스로 주기로 한 과일 바구니가 아직 안 왔대요. 손님들이 기다리시니까 잊지 말고 챙겨주세요."
비행기 좌석이 떨어져 있어서 가는 내내 불편했어요,"왕복 항공 좌석이 떨어져 있어서 불편하셨다네요. 귀국편은 반드시 붙여서 배정되도록 사전 체크 부탁드립니다."
호텔 픽업 차량이 너무 낡아서 에어컨도 안 시원해요,"픽업 차량이 노후돼서 승차감도 안 좋고 덥다고 하십니다. 투어 때는 좀 더 컨디션 좋은 차량으로 배차 부탁드려요."
가이드가 설명은 안 하고 물건만 팔려고 해요,"관광지 설명보다 쇼핑 물품 홍보에만 열을 올린다고 하시네요. 본분에 충실하게 가이딩 해달라고 말씀 좀 전해주세요."
식당 예약이 안 돼 있어서 한참 기다렸어요,"예약된 식당에 갔는데 명단이 없어서 웨이팅 하셨다네요. 예약 재확인 철저히 부탁드립니다."
호텔 수영장 이용 시간 좀 늘려주세요,"수영장 마감 시간이 너무 이르다고 아쉬워하십니다. 야간 수영 가능하도록 시간 연장 안 될지 호텔에 문의 부탁드려요."
가이드가 팁 안 주면 서비스 안 해준다고 협박해요,"팁 안 주면 일정 진행 대충 하겠다고 으름장을 놓으셨다네요. 이건 정말 심각한 문제입니다. 사실 확인 후 조치 부탁드려요."
골프장 티업 시간 맘대로 바꿔서 일정 다 망쳤어요,"사전 동의 없이 티업 시간을 변경해서 뒤 일정이 다 꼬였습니다. 원상 복구하거나 보상안 마련해주세요."
비가 오는데 골프장에서는 무조건 치라고 하네요,"비가 꽤 오는데 골프장 측에서 라운딩 강행하라고 한다네요. 손님들은 취소 원하시는데 안전 문제로 어필해서 취소나 홀 정산 가능할지 확인 부탁드려요."
항공권 이름에 성이랑 이름이 바뀌었어요,"발권된 티켓에 성과 이름이 뒤바뀌어 있다고 합니다. 공항 카운터에서 수정 가능한지 아니면 재발권해야 하는지 긴급 확인 부탁드립니다."
호텔 도착했는데 예약 내역이 없대요,"호텔 프론트에서 예약 내역을 못 찾고 있습니다. 바우처 번호랑 예약 확정서 다시 한번 호텔로 팩스나 메일 발송 부탁드려요."
공항 픽업 차량이 너무 작아서 짐이 다 안 실려요,"픽업 차량 트렁크 공간이 부족해서 캐리어가 다 안 들어간다고 합니다. 짐 실을 수 있는 추가 차량이나 더 큰 차로 교체 지원 부탁드려요."
환전소 어디가 제일 잘 쳐주나요?,"손님들이 환전율 좋은 사설 환전소 위치를 물어보시네요. 가이드분께 안전하고 환율 괜찮은 곳으로 안내 부탁드려요."
