id,input_text,target_summary
1,"10월 12일 다낭 3박4일 견적 부탁드려요 항공 포함입니다","고객님 10월 12일 다낭 3박4일 항공 포함 견적은 1인 기준 98만원입니다"
2,"이번 주말 푸꾸옥 가는데 수영장 수온이 낮나요? 이용시간 알고 싶어요","고객님 푸꾸옥 리조트 수영장은 오전 8시~22시까지 운영하며 온수풀은 적용되지 않습니다"
3,"12월 오키나와 가족여행 가는데 카시타 객실 2개 가능한가요?","고객님 요청 날짜는 카시타 객실 2실 모두 가능하며 예약 진행 도와드릴 수 있습니다"
4,"라운드 2회 포함으로 방콕 패키지 가능한가요? 견적 주세요","고객님 방콕 라운드 2회 포함 패키지는 1인 125만원부터 가능합니다"
5,"3월 출발 코타키나발루 항공 지연 많다던데 일정 문제 없을까요?","고객님 해당 노선은 지연 가능성은 있으나 정상 운항 기준으로 안내드립니다"
6,"4월 5일 출발 세부 5박 패키지 취소하면 수수료 어떻게 되나요?","고객님 출발 30일 전 취소 시 1인 10만원의 취소 수수료가 발생합니다"
7,"2명 출발인데 다낭 반미투어 추가하면 1인 얼마인가요?","고객님 다낭 반미투어 추가 시 1인 3만원 추가됩니다"
8,"치앙마이 하이랜드 골프 중 캐디팁 포함인가요?","고객님 캐디피는 포함이며 캐디팁은 별도 1인 400바트 발생합니다"
9,"12월 발리 가는데 리조트 레이트체크아웃 가능한지 물어봐주세요","고객님 요청 일정은 레이트체크아웃 가능하며 추가비용은 6만원입니다"
10,"5월 오사카 호텔 조식 포함 옵션으로 변경해주세요","고객님 조식 포함 상품으로 변경 완료되었습니다"
11,"다낭 미팅샌딩 비용 현장 결제 가능한가요?","고객님 미팅샌딩 비용은 현장 결제 가능하며 현금/카드 모두 가능합니다"
12,"후쿠오카 3박 일정인데 렌터카 포함 상품 있나요?","고객님 후쿠오카 렌터카 포함상품 있으며 1인 78만원부터 시작합니다"
13,"대만, 어린이 동반 4명인데 패밀리 룸 추천해주세요","고객님 4인 이용 시 패밀리룸 또는 트리플+엑스트라베드 조합 추천드립니다"
14,"3월 싱가포르 출장인데 시내 호텔로 변경해주세요","고객님 요청하신 일정 시내 호텔로 변경 완료했습니다"
15,"11월 다낭 패키지에 스파 포함되나요?","고객님 해당 패키지는 스파 1회 포함입니다"
16,"유심 대신 eSIM 가능한가요? 현지 설치 쉬운지 궁금해요","고객님 eSIM 사용 가능하며 QR 설치 방식으로 간단하게 이용 가능합니다"
17,"1월 치앙마이 4명인데 라운딩 3회 일정 추천해주세요","고객님 4박6일 기준 라운딩 3회 일정 추천드리며 1인 145만원입니다"
18,"세부 샹그릴라 키즈클럽 무료인가요?","고객님 키즈클럽은 투숙객 무료 이용 가능합니다"
19,"5월 발리 6박인데 인근 마사지샵 추천해주실 수 있나요?","고객님 꾸따 지역 아유마사지샵 추천드리며 호텔에서 차량 10분 거리입니다"
20,"프놈펜에서 시엠립 이동은 버스 말고 다른 옵션 있나요?","고객님 항공 이동도 가능하며 약 45분 소요됩니다"
21,"1월 방콕 성수기라는데 룸 업그레이드 될까요?","고객님 업그레이드는 체크인 시 가능 여부 확인됩니다"
22,"괌 PIC 리조트 워터파크 외부인 입장 되나요?","고객님 PIC 워터파크는 투숙객 전용이며 외부인은 입장 불가합니다"
23,"6월 타이베이 면세쇼핑 쿠폰 있나요?","고객님 면세쿠폰 제공 가능하며 예약 후 전달드리겠습니다"
24,"훈룽호텔 조식 추가하면 비용 얼마죠?","고객님 조식 추가 시 1인 18,000원입니다"
25,"비엣젯 항공 위탁수하물 15kg면 충분할까요?","고객님 일반 여행 기준 15kg면 무난하나 쇼핑 계획 있으시면 20kg 추천드립니다"
26,"4월 일본 벚꽃 시즌 여행 취소 규정 문의드립니다","고객님 출발일 기준 D-30 이전 취소 시 수수료 없이 가능하며 이후는 차등 발생입니다"
27,"다낭 2박3일 너무 짧을까요? 일정 괜찮나요?","고객님 2박3일도 가능하나 휴식+관광 포함 원하시면 3박 이상 추천드립니다"
28,"푸켓 5성급 리조트 추천해주세요","고객님 반얀트리/아만푸리 계열 추천드립니다"
29,"보라카이 화이트비치 근처 숙소 추천해주세요","고객님 1선 beachfront 기준 헤난/크림슨 추천드립니다"
30,"괌 아이들과 풀 이용시 튜브 렌탈 되나요?","고객님 현장 렌탈 가능하며 1개 5달러입니다"
31,"후쿠오카 유후인 당일치기 가능할까요?","고객님 왕복 기준 당일 가능하나 이동시간 길어 오전 출발 추천드립니다"
32,"3월 오키나와 골프 1인 싱글차지 얼마인가요?","고객님 싱글차지 1인 8만원 추가 발생합니다"
33,"10월 사연 호텔 오션뷰로 변경 됩니까?","고객님 오션뷰 차액 1인 4만원 추가됩니다"
34,"4명 가족 다낭 가는데 키즈 프라이빗 차량 이용 가능?","고객님 프라이빗 차량 이용 가능하며 6인승 기준 1일 7만원입니다"
35,"방콕 공항 픽업서비스 23시 도착도 가능해요?","고객님 심야픽업 가능하며 추가요금 2만원 발생합니다"
36,"사이판 현지 PCR 필요하나요?","고객님 현 기준 PCR 불필요합니다"
37,"3월 세부 악어농장 투어 추가 가능한가요?","고객님 투어 추가 가능하며 1인 4만원입니다"
38,"발리 커플 여행인데 포토서비스 있나요?","고객님 포토세션 추가 가능하며 1시간 8만원입니다"
39,"푸꾸옥 빈펄 사파리 주말 혼잡하나요?","고객님 주말 이용객 많아 오전 입장 추천드립니다"
40,"7월 니세코 온천 여행 추천 코스 있을까요?","고객님 니세코 온천 투어 패키지 추천드립니다"
41,"하와이 와이키키 뷰 예약하고 싶어요","고객님 와이키키 오션뷰 객실 잔여 있으며 예약 가능합니다"
42,"홍콩 2인 4박 비용 궁금합니다","고객님 4박5일 기준 1인 125만원입니다"
43,"다낭 금고 이용 가능한가요?","고객님 리조트 금고는 무료 이용 가능합니다"
44,"대마도 단풍 시즌 언제인가요?","고객님 10월 중순~11월 초가 단풍 시기입니다"
45,"체크인 22시에 도착해도 가능한가요?","고객님 레이트체크인 가능하며 프론트 24시간 운영합니다"
46,"발리 ATV투어 2인 예약 가능해요?","고객님 2인 예약 가능하며 1인 9만원입니다"
47,"세부 조식이 한식 포함되나요?","고객님 조식은 뷔페식이며 한식 코너 포함되어 있습니다"
48,"다낭 반미 맛집 추천해주세요","고객님 미케비치 근처 반미365 추천드립니다"
49,"오사카 패밀리룸에 아기 침대 가능?","고객님 아기 침대 요청 가능하며 무료 제공됩니다"
50,"꽝남투어 포함 패키지 있나요?","고객님 꽝남투어 포함 패키지 판매중입니다"
51,"푸켓 허니문 패키지 추천해요","고객님 허니문 전용 패키지 가능하며 플라워데코 포함입니다"
52,"방콕 마사지샵 저녁 운영시간 알려주세요","고객님 일반적으로 23시까지 운영합니다"
53,"하노이 플라자호텔 조식 포함인가요","고객님 조식 포함 상품입니다"
54,"항공 마일리지 적립 가능한가요?","고객님 일부 항공사는 적립 가능하니 탑승 후 청구 바랍니다"
55,"푸꾸옥 리조트 공항 셔틀 있나요?","고객님 공항 셔틀 무료 운영됩니다"
56,"보라카이 해양스포츠 할인 있나요?","고객님 투어 예약 시 10% 할인 적용됩니다"
57,"오사카 유니버셜 입장권 포함인가요?","고객님 기본 패키지에는 불포함이며 별도 구매 가능합니다"
58,"타이페이 수하물 추가 얼마인가요?","고객님 5kg당 약 18,000원입니다"
59,"발리 카약 무료인가요?","고객님 카약 무료 대여 가능합니다"
60,"푸켓 야시장 어디가 유명해요?","고객님 찰롱야시장 추천드립니다"
61,"하와이 와이키키 조식 맛있나요?","고객님 조식 평이 좋으며 현지식 포함입니다"
62,"홍콩 트램 티켓 별도인가요?","고객님 트램은 별도 구매입니다"
63,"라오스 관광비자 필요해요?","고객님 한국인 무비자 입국 가능합니다"
64,"괌 호텔 어메니티 알려주세요","고객님 기본 어메니티는 칫솔/샴푸 포함입니다"
65,"푸꾸옥 마사지는 현금만 되나요?","고객님 카드 사용도 가능합니다"
66,"타이베이 스린야시장 가는 법 알려주세요","고객님 MRT 단수이-신이선 탑승 후 스린역 하차입니다"
67,"후쿠오카 텐진 쇼핑몰 주말 붐비나요?","고객님 주말 혼잡하나 평일 대비 여유 있습니다"
68,"세부 호핑투어 식사 제공되나요?","고객님 BBQ식 포함 제공됩니다"
69,"다낭 마사지샵 예약 대행 가능?","고객님 예약 대행 가능하며 일정만 알려주세요"
70,"오사카 교통카드 어디서 사요?","고객님 역 내 자동발매기에서 구매 가능합니다"
71,"발리 현지 가이드 한국어 가능?","고객님 한국어 가능한 가이드 배정 가능합니다"
72,"홍콩 3박 일정에 옹핑케이블 포함되나요?","고객님 해당 패키지는 옹핑케이블 포함입니다"
73,"하와이 서핑 레슨 비용 얼마인가요?","고객님 2시간 기준 1인 9만원입니다"
74,"푸켓 선셋크루즈 추가 가능?","고객님 선셋크루즈 1인 7만원 추가입니다"
75,"보라카이 파라세일링 위험하지 않나요?","고객님 안전 장비 착용하며 진행되어 무리 없습니다"
76,"다낭 1일 차량대절 비용 알려주세요","고객님 1일 기준 8시간 7만원입니다"
77,"하노이 맥주거리 위치 여쭤요","고객님 환끼엠 호수 근처에 위치합니다"
78,"발리 런치 포함 투어 추천","고객님 우붓 투어 런치 포함 상품 추천드립니다"
79,"푸꾸옥 프라이빗 포토 촬영 있나요?","고객님 프라이빗 촬영 가능하며 1시간 10만원입니다"
80,"홍콩 페리 타고 마카오 가나요?","고객님 페리 이동 1시간 소요됩니다"
81,"후쿠오카 템플스테이 가능함?","고객님 일부 사찰 가능하나 예약 필요합니다"
82,"오사카 자유일정 많은 일정 추천","고객님 자유일정 2일 포함 일정 추천드립니다"
83,"세부 패키지 5박 가능해요?","고객님 5박도 가능합니다"
84,"괌 반나절 투어 추천","고객님 돌핀워칭 투어 추천드립니다"
85,"다낭 라운딩+마사지 콤보 상품 있어요?","고객님 콤보 상품 있으며 문의 주시면 안내드립니다"
86,"발리 ATV+래프팅 패키지 비용 알려주세요","고객님 1인 15만원입니다"
87,"홍콩 오션파크 운영시간 알려주세요","고객님 10~18시 운영합니다"
88,"푸켓 공항에서 호텔까지 거리 얼마나 되나요?","고객님 차량 기준 약 40분 소요됩니다"
89,"하와이 별관 객실 업그레이드 되나요?","고객님 체크인 시 가능 여부 확인됩니다"
90,"타이베이 온천 추천코스","고객님 베이터우 온천지역 추천드립니다"
91,"오사카 USJ 파스 패스 │ 별도 구매?","고객님 익스프레스패스는 별도 구매입니다"
92,"세부 스노클장비 대여 가능?","고객님 현장 대여 가능합니다"
93,"다낭 썬월드 야간권 있나요?","고객님 야간권 별도 구매 가능합니다"
94,"발리 레스토랑 드레스코드 있나요?","고객님 일부 레스토랑은 스마트캐주얼 요구됩니다"
95,"홍콩 야경투어 포함인가요?","고객님 기본 패키지는 불포함이며 옵션 가능입니다"
96,"푸켓 씨푸드 맛집 추천해주세요","고객님 한림씨푸드 추천드립니다"
97,"하와이 무선인터넷 무료인가요?","고객님 객실 Wi-Fi 무료입니다"
98,"타이페이 중정기념당 관람시간 알려주세요","고객님 오전 9시~17시 운영입니다"
99,"보라카이 호핑투어 날씨 영향 있어요?","고객님 풍랑주의보 시 취소 가능하며 환불됩니다"
100,"다낭 골프장 드레스코드 어떻게 되나요?","고객님 카라있는 상의와 골프화 착용 필요합니다"
101,"9월 14일 다낭 패키지 결제 후 일정 변경 가능할까요?","고객님 출발 7일 전까지 일정 변경 가능하며 이후 변경 시 수수료가 발생합니다"
102,"하와이 4인 렌터카 보험 포함인가요?","고객님 기본 보험 포함이며 자차보험은 추가 선택 가능합니다"
103,"타이베이 야시장 투어 포함된 상품 있나요?","고객님 스린야시장 방문 포함된 패키지 있습니다"
104,"코타키나발루 3박4일 골프 2회 일정 추천해주세요","고객님 3박4일 기준 골프 2회 일정 추천드립니다"
105,"푸켓 풀빌라 방음 괜찮나요?","고객님 가족 투숙 고객 많아 비교적 조용한 편입니다"
106,"괌 항공 비즈니스석 업그레이드 비용 궁금해요","고객님 편도 기준 1인 38만원 추가입니다"
107,"발리 8월 우붓 일정에 우붓시장 포함되나요?","고객님 우붓시장 방문 포함 가능합니다"
108,"홍콩 공항철도 티켓 미리 구매해야 하나요?","고객님 현장 구매 가능하지만 온라인 구매 시 할인됩니다"
109,"하노이 커넥팅룸 있나요? 가족이라 붙어있으면 좋아요","고객님 커넥팅룸 요청 가능하며 배정은 체크인 시 확인됩니다"
110,"보라카이 파티보트 추천해요","고객님 화이트비치 파티보트 인기 있습니다"
111,"세부 공항픽업 심야도 가능합니까?","고객님 심야 도착도 픽업 가능하며 추가요금 1만원 발생합니다"
112,"오사카 3박인데 디즈니 포함 일정 가능?","고객님 디즈니는 도쿄 위치로 이동 필요합니다"
113,"다낭 마사지샵 사전예약해주실 수 있나요?","고객님 원하시면 예약대행 도와드립니다"
114,"푸꾸옥 스노클링 일정 몇 시간인가요?","고객님 약 4~5시간 소요됩니다"
115,"타이베이 온천 이용 시 수영복 필수인가요?","고객님 일부 온천은 수영복 착용 필요합니다"
116,"후쿠오카 렌터카 국제면허 꼭 있어야 하나요?","고객님 국제운전면허증 필수입니다"
117,"하와이 하와이언항공 기내식 무료인가요?","고객님 기내식 1회 무료 제공됩니다"
118,"홍콩 오션파크 티켓 포함된 일정 있어요?","고객님 포함상품 있으며 옵션 추가도 가능합니다"
119,"괌 해양스포츠 패키지 구성 알려주세요","고객님 호핑+스노클+제트스키 포함 상품 있습니다"
120,"발리 5박 허니문 장미데코 포함인가요?","고객님 허니문 패키지에 장미데코 포함입니다"
121,"세부 택시보다 Grab 추천인가요?","고객님 Grab 이용이 편리하고 안전합니다"
122,"타이베이 MRT 교통권 포함되나요?","고객님 패키지에는 미포함이며 개별 구매 가능합니다"
123,"다낭 공항근처 호텔 조용한 곳 추천해주세요","고객님 노보텔/푸라마 계열 추천드립니다"
124,"푸켓 야시장 투어 몇 시에 끝나요?","고객님 보통 22시경 마무리됩니다"
125,"오사카 교토 당일 일정 괜찮나요?","고객님 당일 가능하며 왕복 약 1시간 소요됩니다"
126,"하와이 3세 아동 조식요금 있어요?","고객님 3세 미만 무료, 초과 시 소액 발생됩니다"
127,"보라카이 비치클럽 무료입장인가요?","고객님 일부 클럽은 무료, 일부는 입장료 있습니다"
128,"홍콩 디즈니랜드 파이어쇼 매일 하나요?","고객님 시즌별 상이하며 주말 확률 높습니다"
129,"발리 리조트 스파포함 패키지있나요?","고객님 1회 스파 포함 상품 제공 가능합니다"
130,"세부 호핑투어 어린이 할인가 있나요?","고객님 만12세 이하 20% 할인됩니다"
131,"타이베이 택시 카드결제 되나요?","고객님 일부 차량만 가능하며 현금 권장드립니다"
132,"다낭 1박 연장 가능하면 비용 알려주세요","고객님 1박 연장 시 1실 12만원입니다"
133,"푸껫 호텔 조식이 웨스턴인가요?","고객님 웨스턴+아시안 스타일 뷔페입니다"
134,"후쿠오카 텐진역 근처 호텔 추천 부탁","고객님 텐진 도큐/리갈호텔 추천드립니다"
135,"하와이 6박 일정 렌터카 3일만 포함 가능?","고객님 부분 포함 가능하며 3일 기준 16만원입니다"
136,"홍콩 침사추이 맛집 알려주세요","고객님 예만티라멘/팀호완 추천드립니다"
137,"보라카이 선셋 세일링 인기 많나요?","고객님 인기 많아 사전예약 추천드립니다"
138,"오키나와 키즈풀 있음?","고객님 키즈풀 보유한 리조트 많습니다"
139,"다낭 호이안 야시장 가려면 시간 얼마나?","고객님 차량 기준 약 40분 소요됩니다"
140,"푸껫 판타지쇼 포함 상품 있어요?","고객님 판타지쇼 포함 일정 선택 가능합니다"
141,"세부 가이드 한국인인가요?","고객님 한국어 가이드 배정 가능합니다"
142,"타이베이 우육면 추천가게 알려줘요","고객님 융캉우육면 추천드립니다"
143,"발리 스윙포토 안전한가요?","고객님 안전장비 착용 후 진행됩니다"
144,"홍콩 5성 호텔 클럽라운지 포함인가요?","고객님 클럽룸 예약 시 라운지 이용 가능"
145,"괌 패밀리룸 3베드 가능한가요?","고객님 엑스트라베드 추가로 3베드 구성됩니다"
146,"하와이 카일루아해변 교통편 알려주세요","고객님 버스+우버 이용 추천드립니다"
147,"오사카 쇼핑몰 세일기간 언제?","고객님 7월과 12월이 주요 세일 시즌입니다"
148,"세부 제트스키 연령제한 있나요?","고객님 12세 이상 이용 가능합니다"
149,"타이베이 나이트투어 얼마인가요?","고객님 1인 6만원입니다"
150,"다낭 허니문 데코 추가 가능합니까?","고객님 허니문 데코 요청 시 무료 제공됩니다"
151,"푸껫 아동동반 객실 정책 궁금해요","고객님 아동1명까지 무료동반 가능합니다"
152,"홍콩 쇼핑가 추천해주세요","고객님 침사추이/코즈웨이베이 추천드립니다"
153,"발리 공항픽업 포함 상품인가요?","고객님 패키지에 픽업포함입니다"
154,"세부 골프 18홀 몇 시간 소요되나요?","고객님 약 4시간 소요됩니다"
155,"다낭 수하물 규정 항공마다 다른가요?","고객님 항공사별 상이하여 예약 후 안내드립니다"
156,"오사카 텐진바시 상점가 영업시간 알려줘요","고객님 10~20시 운영이 많습니다"
157,"하와이 석식 크루즈 얼마에요?","고객님 1인 14만원입니다"
158,"타이베이 핫스프링 룸 이용 가능합니까?","고객님 일부 호텔 온천룸 보유합니다"
159,"세부 가든뷔페 현지결제 되나요?","고객님 현장결제 가능하며 카드도 가능합니다"
160,"다낭 유심 현지에서 구매 쉬운가요?","고객님 공항 부스에서 즉시 구매 가능합니다"
161,"푸켓 마사지 예약 피크시간 알려주세요","고객님 18~21시가 가장 붐빕니다"
162,"홍콩 페리 터미널 위치 알려줘요","고객님 침사추이 스타페리 터미널 이용하시면 됩니다"
163,"오사카 텐노지 동물원 포함 일정 있나요?","고객님 옵션투어로 추가 가능합니다"
164,"발리 해양스포츠센터 근처 이동편?","고객님 리조트 셔틀 또는 택시 이용 권장드립니다"
165,"세부 ATV+래프팅 콤보 가능합니까?","고객님 콤보 예약 가능하며 1인 13만원입니다"
166,"다낭 호이안 조식 추천 메뉴 있나요?","고객님 로컬 반미+쌀국수 추천드립니다"
167,"푸껫 프리다이빙 체험 가능해요?","고객님 체험 프로그램 있으며 사전 예약 필요합니다"
168,"홍콩 공항세 포함 요금인가요?","고객님 요금에 공항세 포함입니다"
169,"오사카 온천욕 조식 포함 상품 있어요?","고객님 온천+조식 포함 패키지 가능합니다"
170,"하와이 골프클럽 렌탈 얼마인가요?","고객님 18홀 기준 1세트 6만원입니다"
171,"세부 섬투어 날씨 영향 큰가요?","고객님 날씨 영향 있어 우천 시 일정 조정 가능합니다"
172,"타이베이 101 전망대 입장권 별도 구매죠?","고객님 전망대는 별도 구매입니다"
173,"다낭 공항 라운지 이용가능한가요?","고객님 PP카드/유료입장 모두 가능합니다"
174,"푸껫 아동 조식요금 얼마인지 궁금","고객님 아동 조식 1인 1만원입니다"
175,"홍콩 트램야경 투어 가능합니까?","고객님 가능하며 1인 5만원입니다"
176,"오사카 킨키JR 패스 어디서 찾나요?","고객님 간사이 공항 교통센터에서 수령 가능합니다"
177,"하와이 스노클링 투어 장비 포함?","고객님 장비 포함 제공됩니다"
178,"세부 수영장 온수인가요?","고객님 일부 리조트 온수풀 보유합니다"
179,"다낭 호이안투어 저녁포함입니까?","고객님 디너 포함 상품 선택 가능합니다"
180,"푸껫 타이마사지 2시간 얼마인가요?","고객님 1인 4만원입니다"
181,"홍콩 MTR 패스 환불가능합니까?","고객님 미사용시 환불 가능하나 수수료 발생됩니다"
182,"오사카 도톤보리 포토존 추천해주세요","고객님 글리코맨 앞이 대표 포인트입니다"
183,"하와이 돌핀투어 안전한편인가요?","고객님 안전장비 착용 후 진행됩니다"
184,"세부 가이드팁 얼마줘야합니까?","고객님 1일 1인 5달러 권장됩니다"
185,"다낭 호이안 라이트업 예쁜가요?","고객님 야간 조명이 아름답기로 유명합니다"
186,"푸껫 툭툭 위험하진 않나요?","고객님 안전하지만 야간 이용은 주의 권장드립니다"
187,"홍콩 빅토리아피크 트램 입장권 얼마?","고객님 1인 4만원입니다"
188,"오사카 난바역 숙소 접근성 괜찮나요?","고객님 교통 중심지로 접근성 좋습니다"
189,"하와이 쇼핑아울렛 추천부탁","고객님 알라모아나/와이켈레 아울렛 추천드립니다"
190,"세부 아이스크림 유명한곳 있나요?","고객님 JPark 아이스크림 인기 많습니다"
191,"다낭 리조트 조식에 과일 많이 나오나요?","고객님 열대과일 다양하게 제공됩니다"
192,"푸껫 스노클링 깊이 깊나요?","고객님 얕은 포인트도 있어 초보자 이용 가능"
193,"홍콩 나이트마켓 위치 알려줘요","고객님 몽콕 레이디스마켓 유명합니다"
194,"오사카 USJ 사진촬영 가능?","고객님 대부분 구역 촬영 가능합니다"
195,"하와이 라우하우스 저녁코스 좋아요?","고객님 평점 좋고 허니문 인기 장소입니다"
196,"세부 야간마사지 예약해줘요","고객님 시간 알려주시면 대행해드립니다"
197,"다낭 인피니티풀 있는 호텔?","고객님 시크릿리조트 인피니티풀 보유합니다"
198,"푸껫 비치클럽 예약필요?","고객님 주말은 사전예약 권장드립니다"
199,"홍콩 카트 레이스 체험 있어요?","고객님 일부 센터 체험존 운영합니다"
200,"오사카 온천세 별도인가요?","고객님 온천세 1인 200엔 추가됩니다"
201,"하와이 12월에 수영 가능할까요? 날씨 어때요?","고객님 하와이는 12월에도 수영 가능하시며 다소 바람이 있지만 이용에는 무리가 없습니다"
202,"세부 ATV 투어 위험하지 않나요? 초보도 가능?","고객님 안전장비 착용 후 진행되어 초보자분도 이용 가능하십니다"
203,"타이베이 심야 도착인데 택시 바로 잡힐까요?","고객님 공항 택시는 24시간 운영되어 심야에도 이용 가능하십니다"
204,"다낭 마사지샵 할인 있나요? 현장 결제하면 싸요?","고객님 일부 샵은 현장 할인 진행되며 매장마다 상이하니 방문 전 확인 권장드립니다"
205,"푸켓 스노클링 장비 개인 준비해야 하나요?","고객님 투어 이용 시 장비 제공되어 별도 준비 필요 없습니다"
206,"홍콩 야경투어 2시간 코스 있나요?","고객님 2시간 코스 야경투어 상품 준비되어 있습니다"
207,"오사카에서 고베 당일 코스 가능할까요?","고객님 전철 이동 약 30~40분이라 당일 여행도 가능하십니다"
208,"하와이 12월 날씨 추운가요?","고객님 수영 가능하나 저녁에는 선선해 가벼운 겉옷 챙기시는 것을 추천드립니다"
209,"세부 스노클링 사진 찍어주나요?","고객님 가이드가 기념 촬영 도와드리고 있습니다"
210,"다낭 숙소 컨디션 좋은 리조트 추천해주세요","고객님 푸라마, 인터컨티넨탈 등 컨디션 좋은 리조트 추천드립니다"
211,"푸켓 골프 캐디 포함인가요?","고객님 캐디비는 포함되며 팁은 별도 발생합니다"
212,"홍콩 공항에서 시내 이동 어떤 방법이 빨라요?","고객님 공항철도 이용이 가장 빠르고 편리하십니다"
213,"오사카 2박 일정 무리 없을까요?","고객님 주요 관광지만 방문하신다면 충분히 가능하십니다"
214,"하와이 샌드위치 맛집 추천해줘요","고객님 란파우샌드위치 맛과 평이 좋아 추천드립니다"
215,"세부 베이비시트 렌탈 가능합니까?","고객님 사전 요청 시 1일 기준 1만원에 대여 가능하십니다"
216,"다낭 패키지에 반미 체험 포함되나요?","고객님 기본 패키지는 미포함이며 옵션 추가 가능합니다"
217,"푸켓 라차섬 투어 몇시에 출발해요?","고객님 일반적으로 오전 8시30분 출발합니다"
218,"홍콩 침사추이 야경 볼만한가요?","고객님 심포니오브라이트 공연 시간 맞춰 방문 추천드립니다"
219,"오사카 자유일정 많은 패키지 있나요?","고객님 자유일정 1일 포함 상품으로 진행 가능하십니다"
220,"하와이 전망 좋은 레스토랑 예약 가능?","고객님 원하시면 예약 대행 도와드릴 수 있습니다"
221,"세부 세일링요트 투어 비용 얼마인가요?","고객님 1인 12만원에 이용 가능하십니다"
222,"다낭 근처 한식당 많나요?","고객님 한식당 밀집지역이 있어 접근성이 좋습니다"
223,"푸켓 공항픽업 포함인가요?","고객님 해당 패키지는 공항 픽업 포함되어 있습니다"
224,"홍콩 쇼핑 할인쿠폰 주나요?","고객님 예약 확정 후 모바일 쿠폰 전달드리고 있습니다"
225,"오사카 프리패스 가격 어느 정도인가요?","고객님 1일권 기준 약 3만원대입니다"
226,"하와이 돌고래 투어로 변경 가능?","고객님 돌핀투어로 변경 가능하며 차액 발생 시 추가 안내드립니다"
227,"세부 호텔 수영장 야간 운영되나요?","고객님 대부분 21시까지 운영합니다"
228,"다낭 패키지 가이드 포함 여부 궁금합니다","고객님 전 일정 한국어 가이드 포함되어 있습니다"
229,"푸켓 프라이빗 풀빌라 추천해줘요","고객님 트리사라/안다라 등 풀빌라 리조트 추천드립니다"
230,"홍콩 공항 근처 호텔 있어요?","고객님 리갈 에어포트 호텔 접근성 좋습니다"
231,"오사카 유니버셜 2일권 있는지 궁금해요","고객님 2-Day 패스 구매 가능하십니다"
232,"하와이 택시 vs 우버 뭐가 나을까요?","고객님 우버 이용이 요금·편의 모두 효율적입니다"
233,"세부 마사지숍 예약 부탁드릴게요","고객님希望하시는 시간 남겨주시면 예약 대행해드리겠습니다"
234,"다낭 골프 클럽렌탈 비용?","고객님 18홀 기준 세트당 약 35,000원입니다"
235,"푸켓 환전 어디가 유리할까요?","고객님 파통 환전소 이용 시 비교적 좋습니다"
236,"홍콩 디즈니 퍼레이드 언제 하나요?","고객님 오후 시간대 진행되는 경우가 많습니다"
237,"오사카 ICOCA카드와 패스 차이?","고객님 ICOCA는 충전형 교통카드이며 패스는 자유이용권 형태입니다"
238,"하와이 와이키키 근처 인기 호텔 추천","고객님 쉐라톤/힐튼 계열 추천드립니다"
239,"세부 3박 일정 충분할까요?","고객님 호핑+마사지 일정으로 온전히 즐기시기 적당합니다"
240,"다낭 호텔 레이트체크아웃 가능해요?","고객님 요청 시 14시까지 가능하며 이후엔 추가 비용 발생할 수 있습니다"
241,"푸켓 라차섬 스노클링 장비 포함입니까?","고객님 장비 대여 포함되어 있습니다"
