id,input_text,target_summary
242,"홍콩 옹핑케이블 요금 어느정도인가요?","고객님 1인 약 4만원 예상하시면 됩니다"
243,"오사카 아이와 함께 갈 수 있는 코스 추천","고객님 유니버설·아쿠아리움 중심 일정 추천드립니다"
244,"하와이 경유 비행 피곤하지 않나요?","고객님 휴식 고려한다면 직항 추천드립니다"
245,"세부 픽업시간 언제 안내해줘요?","고객님 출발 하루 전에 확정 후 안내드립니다"
246,"다낭 움침한 날씨 많나요?","고객님 연중 습도 있고 우기에는 비가 잦습니다"
247,"푸켓 스파 2시간 코스 있나요?","고객님 60/90/120분 코스 운영 중입니다"
248,"홍콩 디즈니랜드 할인 이벤트 하나요?","고객님 시즌별 스페셜 프로모션 진행되기도 합니다"
249,"오사카 난카이선 어디서 타나요?","고객님 간사이 공항역 승차하시면 됩니다"
250,"하와이 렌터카 보험 필수인가요?","고객님 기본보험 포함이며 자차보험 추가 가입 권장드립니다"
251,"세부 호핑투어 거북이 볼 수 있나요?","고객님 운이 좋으면 거북이를 보실 수 있습니다"
252,"다낭 공항심사 오래 걸릴까요?","고객님 상황에 따라 30~60분 소요될 수 있습니다"
253,"푸켓 숙소 체크인 새벽 1시도 가능해요?","고객님 24시간 프론트 운영으로 체크인 가능하십니다"
254,"홍콩 반일 시티투어 비용 안내 바랍니다","고객님 1인 6만원에 이용 가능하십니다"
255,"오사카 교토+고베 하루 일정 가능한가요?","고객님 일정은 가능하나 다소 촉박할 수 있습니다"
256,"하와이 호텔 조식 포함인가요?","고객님 신청 상품은 조식 포함으로 제공됩니다"
257,"세부 키즈풀 시설 괜찮나요?","고객님 어린이용 풀 구비된 리조트 많습니다"
258,"다낭 현지 환전 환율 좋나요?","고객님 시내 환전소 비교 후 이용 추천드립니다"
259,"푸켓 환전은 한국이랑 비교 어때요?","고객님 현지 환율이 더 좋은 편입니다"
260,"홍콩 야시장 운영 시간 언제인가요?","고객님 보통 18시~23시 운영합니다"
261,"오사카 교통패스 2일권 있나요?","고객님 2데이 주유패스 이용 가능하십니다"
262,"하와이 돌고래 크루즈 인기 많나요?","고객님 허니문 고객분들께 특히 인기 많습니다"
263,"세부 현지 유심 어디서 사나요?","고객님 공항 유심부스에서 바로 구매 가능하십니다"
264,"다낭 한식당 추천 부탁드립니다","고객님 미케비치 근처 한식당 다수 있습니다"
265,"푸켓 야경 좋은 스팟 알려주세요","고객님 프롬텝 전망대 추천드립니다"
266,"홍콩 트램 포토스팟 있어요?","고객님 센트럴 구간 촬영 많이 하십니다"
267,"오사카 캐리어 보관 가능한가요?","고객님 호텔 프론트 보관 가능하십니다"
268,"하와이 장기숙박 할인 적용되나요?","고객님 5박 이상 시 할인 적용 가능하오니 상담 요청주세요"
269,"세부 호핑 점심 포함인지 궁금합니다","고객님 BBQ 점심 포함입니다"
270,"다낭 딤섬 맛집 추천해주세요","고객님 히든딤섬 유명합니다"
271,"푸켓 마사지 가격대 알려주세요","고객님 1시간 기준 약 1.5~2만원입니다"
272,"홍콩 심포니오브라이트 어디서 볼까요?","고객님 스타페리 앞 포인트 추천드립니다"
273,"오사카 USJ 음식 반입 되나요?","고객님 간단 스낵류는 가능한 경우가 많습니다"
274,"하와이 쇼핑세 어느정도인가요?","고객님 약 4.5% 부과됩니다"
275,"세부 다이빙 자격증 없으면 못하나요?","고객님 체험다이빙은 자격증 없이도 이용 가능합니다"
276,"다낭 호텔 공항에서 가깝나요?","고객님 차량 기준 15~20분 거리입니다"
277,"푸켓 음식 배달 사용해도 되나요?","고객님 Grabfood 이용 많습니다"
278,"홍콩 2박 일정 너무 짧나요?","고객님 핵심 일정 위주로는 가능하십니다"
279,"오사카 혼잡 피하려면 어떻게 해요?","고객님 오전 일찍 이동 추천드립니다"
280,"하와이 키즈체어 렌탈료 얼마인가요?","고객님 1일 기준 약 8달러입니다"
281,"세부 아동요금 할인되나요?","고객님 만 12세 이하 할인 적용됩니다"
282,"다낭 호이안투어 디너 포함인가요?","고객님 옵션 선택 시 포함 가능합니다"
283,"푸켓 환율 언제 좋나요?","고객님 주중 오전 환전 추천드립니다"
284,"홍콩 호텔 체크아웃 후 짐 맡길 수 있나요?","고객님 무료 보관 가능하십니다"
285,"오사카 온천 타월 포함인가요?","고객님 대부분 타월 제공됩니다"
286,"하와이 서핑보드 렌탈 얼마죠?","고객님 1시간 약 2만원선입니다"
287,"세부 키즈클럽 유료입장인가요?","고객님 투숙객 무료 이용 가능하십니다"
288,"다낭 한국어 가이드 배정되나요?","고객님 한국인 가이드 배정 가능합니다"
289,"푸켓 씨투어 날씨 영향 큰가요?","고객님 우기에는 일정 변경될 수 있습니다"
290,"홍콩 공항까지 가장 빠른 이동수단?","고객님 공항철도 이용이 가장 효율적입니다"
291,"오사카 3박 일정 중 자유일 하루 넣고싶어요","고객님 자유 일정 포함 구성으로 가능하십니다"
292,"하와이 룸서비스 24시간 되나요?","고객님 호텔별 상이하며 일부 호텔만 24시간 제공됩니다"
293,"세부 스노클링 아이들도 이용 가능합니까?","고객님 구명조끼 착용 시 이용 가능합니다"
294,"다낭 반미 맛있게 먹는 팁 있어요?","고객님 현지 매장 따뜻할 때 드시면 더욱 맛있습니다"
295,"푸켓 반딧불 투어 시간 몇시간이에요?","고객님 약 3시간 소요됩니다"
296,"홍콩 비 오는 날 여행 괜찮아요?","고객님 실내 위주 일정으로 진행하시면 무리 없습니다"
297,"오사카 패스 어디서 구매하나요?","고객님 공항 교통센터에서 바로 구매 가능합니다"
298,"하와이 관광세 별도인가요?","고객님 리조트피가 별도 부과될 수 있습니다"
299,"세부 호핑 다녀오면 사진파일 받나요?","고객님 촬영된 사진은 현지에서 파일 전송해드립니다"
300,"다낭 공항 심사 오래걸리나요?","고객님 시간대에 따라 30~60분 정도 예상됩니다"
301,"하와이 7월에 파도 높아? 서핑하기 어때?","고객님 7월은 서핑 적기라 파도가 좋은 편이며 초보자 레슨도 가능합니다"
302,"다낭 공항근처에 한식집 있어?","고객님 공항 인근에 한식당 다수 있어 이용에 편리하십니다"
303,"세부에서 호핑투어 하면 점심 줘?","고객님 호핑투어는 BBQ 점심이 포함되어 제공됩니다"
304,"오사카 11월 가면 코트 챙겨야 해?","고객님 11월은 쌀쌀해 가벼운 코트 준비를 권장드립니다"
305,"푸켓 공항에서 호텔까지 멀어?","고객님 차량 기준 약 40분 내외 소요됩니다"
306,"홍콩 디즈니랜드 가면 퍼레이드 언제해?","고객님 오후 시간대 진행되는 경우 많으며 일정표 확인을 권장드립니다"
307,"발리 ATV 재밌어? 위험하진 않지?","고객님 안전장비 착용 후 진행되어 비교적 안전하게 이용 가능하십니다"
308,"괌 PIC 워터파크 외부인도 들어가?","고객님 PIC 워터파크는 투숙객 전용이므로 외부입장은 불가합니다"
309,"오사카역 근처 숙소 추천 좀","고객님 난바·우메다역 인근 숙소 접근성이 좋아 추천드립니다"
310,"후쿠오카 3박이면 충분해?","고객님 주요 관광 포함 시 3박 일정으로도 충분히 즐기실 수 있습니다"
311,"세부 마사지 예약 필요해? 그냥 가도 돼?","고객님 현장 방문도 가능하나 성수기에는 사전예약을 권장드립니다"
312,"다낭 수영장 온수야? 애기도 들어가?","고객님 일부 리조트는 온수풀을 보유해 아동도 이용 가능합니다"
313,"하와이 쇼핑 어디가저렴해?","고객님 와이켈레 아울렛이 가격 메리트가 있습니다"
314,"타이베이 야시장 뭐가 제일 유명해?","고객님 스린야시장이 대표적이며 음식 선택 폭이 넓습니다"
315,"푸켓 반딧불 투어 꼭 해야해?","고객님 야경 분위기가 좋아 많은 고객님께서 만족하십니다"
316,"홍콩 오션파크랑 디즈니 중에 뭐가 나아?","고객님 아동은 디즈니, 다양한 즐길거리는 오션파크를 추천드립니다"
317,"괌 렌터카 있어야 돌아다니기 편하나?","고객님 대중교통이 제한적이라 렌터카 이용이 편리하십니다"
318,"발리 허니문 데코 추가비 들어?","고객님 기본 허니문 패키지는 무료 데코 포함됩니다"
319,"오키나와 공항면세점 볼 만해?","고객님 브랜드 다양해 출국 전 쇼핑 가능합니다"
320,"다낭 바다뷰호텔 중 가성비 좋아 뭐야?","고객님 하이안 비치 호텔을 추천드립니다"
321,"하와이 돌고래투어 사진 찍어줘?","고객님 현지 스탭이 촬영 도와드리고 파일로 전달드립니다"
322,"홍콩 침사추이 야경 포토스팟 어디야?","고객님 스타페리 앞 포인트 촬영이 가장 인기 있습니다"
323,"푸켓 패밀리룸 있냐? 애 둘 데리고 가","고객님 트리플+엑스트라베드 구성으로 이용 가능하십니다"
324,"세부 호핑때 수영복만 챙기면 돼?","고객님 수영복·선크림 외 추가 장비는 제공됩니다"
325,"다낭 마사지 저녁에도 돼?","고객님 대부분 매장은 23시까지 운영합니다"
326,"오사카 텐노지 동물원가면 재미있어?","고객님 가족단위 방문 많고 아이들에게 인기가 있습니다"
327,"하와이 일몰 예쁜 스팟은?","고객님 쿠히오비치 해변 일몰이 아름답기로 유명합니다"
328,"홍콩 야시장 혼자 가도 안전?","고객님 관광객 많아 비교적 안전하나 늦은밤 귀가 주의 권장드립니다"
329,"푸켓 라차섬 난이도 어때? 수영 못해도 돼?","고객님 얕은 포인트도 있어 구명조끼 착용 시 가능하십니다"
330,"세부 아기 데리고 갈만한가?","고객님 리조트 시설 좋아 가족여행으로 많이 선택하십니다"
331,"다낭 골프복 대여돼?","고객님 현장 대여는 드물어 개인 준비 권장드립니다"
332,"오사카 교통패스 사면 무제한이야?","고객님 주유패스 사용 기간 내 지하철 무제한 이용 가능합니다"
333,"하와이 식당 팁 꼭 줘야하나?","고객님 10~15% 정도 팁 문화가 일반적입니다"
334,"홍콩 디즈니 접근성 괜찮음?","고객님 MTR로 이동 가능해 접근성 좋습니다"
335,"푸켓 주말 미팅샌딩비 올라?","고객님 주말 추가요금 발생 가능하오니 확인 후 안내드리겠습니다"
336,"세부 패러세일링 무서워?","고객님 안전장비 착용하며 비교적 안정적으로 운영됩니다"
337,"다낭 골프라운딩 몇 시간 걸려?","고객님 18홀 기준 약 4시간 예상됩니다"
338,"하와이 가면 아울렛 꼭 들러야해?","고객님 쇼핑 즐기신다면 방문 추천드립니다"
339,"오사카 성 야경투어 있어?","고객님 야간 포토투어 프로그램 진행 중입니다"
340,"홍콩 심야택시 비싸지 않음?","고객님 심야할증 있으나 이동 편의성은 높습니다"
341,"푸켓 조식 종류 많아?","고객님 웨스턴+아시안 메뉴로 구성되어 다양합니다"
342,"세부 스노클할때 신발 챙겨야해?","고객님 아쿠아슈즈는 편의를 위해 준비 추천드립니다"
343,"다낭 늦은 체크아웃 가능?","고객님 요청 시 14시까지 가능하며 이후 추가요금 발생 가능합니다"
344,"오사카 유니버셜 대기시간 길지?","고객님 성수기엔 대기 길어 패스트패스 추천드립니다"
345,"하와이 렌터카 주차비 있어?","고객님 일부 호텔 유료주차 정책입니다"
346,"홍콩 맥주거리 어디야?","고객님 란콰이퐁이 대표적인 거리입니다"
347,"푸켓 스파 예약하면 픽업도 해줘?","고객님 일부 샵은 무료 픽업 제공하고 있습니다"
348,"세부 요트투어 저녁에도 해?","고객님 선셋세일링 프로그램으로 진행 가능합니다"
349,"다낭 날씨 덥지? 우기 언제야?","고객님 5~10월 우기이며 기온은 연중 따뜻한 편입니다"
350,"오사카 카페거리 추천좀","고객님 호리에 지역 카페라인이 유명합니다"
351,"하와이 와이키키 조식 맛있어?","고객님 조식 뷔페 평이 좋아 만족도 높습니다"
352,"홍콩 트램야경 어떰?","고객님 트램 라이드로 편하게 야경 감상 가능하십니다"
353,"푸켓 빕레스토랑 예약해야해?","고객님 인기매장은 사전 예약을 권장드립니다"
354,"세부 호핑사진 따로 사야해?","고객님 투어 포함 상품은 사진 무료 제공됩니다"
355,"다낭 반미 어디가 맛나?","고객님 반미365/반미바 많이 찾으십니다"
356,"오사카 캐리어 맡기고 관광할 수 있어?","고객님 호텔 프론트에 무료 보관 가능하십니다"
357,"하와이 3박4일이면 바빠?","고객님 코스 압축 시 충분히 즐기실 수 있습니다"
358,"홍콩 야시장 뭐 사야돼?","고객님 로컬 간식·기념품 쇼핑 추천드립니다"
359,"푸켓 라차섬 투어 힘들어?","고객님 초보도 가능하며 장비 지원됩니다"
360,"세부 여행 갈 때 환전 많이 해야해?","고객님 일부 매장은 카드 가능해 소액 환전도 무난합니다"
361,"다낭 마사지샵 추천좀","고객님 라미스파/센스스파 인기 좋습니다"
362,"오사카 2월 추워?","고객님 겨울철이라 두꺼운 외투 준비 권장드립니다"
363,"하와이 허니문 서비스 뭐 줘?","고객님 케이크/플라워데코 등 제공 상품도 있습니다"
364,"홍콩 디즈니 파크패스 얼만데?","고객님 1인 약 10만원대입니다"
365,"푸켓 ATV 어디서 해?","고객님 찰롱 지역 ATV 센터가 대표적입니다"
366,"세부 야시장 어디가 좋아?","고객님 카르본·아얄라 센터 방문 많습니다"
367,"다낭 호이안 저녁사진 잘 나와?","고객님 랜턴 라이트업으로 사진이 특히 예쁩니다"
368,"오사카 온천세 따로 내?","고객님 1인 200엔 정도 별도 부과됩니다"
369,"하와이 돌핀스윔 하루에 몇 회함?","고객님 오전/오후 2회 진행되는 경우 많습니다"
370,"홍콩 공항철도 티켓 미리 사야해?","고객님 현장 구매도 가능하지만 온라인 할인률이 좋습니다"
371,"푸켓 리조트에 키즈룸 있음?","고객님 키즈존 보유 리조트 여러 곳 있습니다"
372,"세부 호핑 코스 거친가?","고객님 날씨 따라 조정되며 비교적 무난한 코스입니다"
373,"다낭 해변 파도 세?","고객님 계절에 따라 다르나 수영 가능 범위 내입니다"
374,"오사카 유니버셜 티켓 현장사도 돼?","고객님 가능하지만 매진될 수 있어 사전구매 추천드립니다"
375,"하와이 PCR 필요없지?","고객님 현재 무검사 입국 가능하십니다"
376,"홍콩 쇼핑하기 좋은 시장 어디야?","고객님 레이디스마켓/템플스트리트 추천드립니다"
377,"푸켓 세일링 요트 인원제한 있어?","고객님 선사별 상이하나 보통 20명 내외입니다"
378,"세부 리조트 식당 괜찮아?","고객님 조식/석식 모두 이용 만족도 높습니다"
379,"다낭 공항 픽업 추가 비용 있어?","고객님 일부 상품 포함이며 미포함 시 2만원 추가됩니다"
380,"오사카 명소 3개만 추천해줘","고객님 유니버셜·오사카성·도톤보리 추천드립니다"
381,"하와이 별구경 투어 괸찮아?","고객님 조건 좋으면 은하수 촬영도 가능합니다"
382,"홍콩 디즈니 야간쇼 끝나고 교통 괜찮아?","고객님 MTR 운행시간 내 이동 가능하십니다"
383,"푸켓 패밀리풀 있는 리조트 알려줘","고객님 센타라/홀리데이인 패밀리풀 보유합니다"
384,"세부 비치투어하면 우비필요해?","고객님 우기는 소나기 있어 얇은 우비 권장드립니다"
385,"다낭 호이안 야경투어 추천해?","고객님 만족도 매우 높은 코스라 추천드립니다"
386,"오사카 쇼핑거리는 어디야?","고객님 신사이바시 상점가가 가장 붐빕니다"
387,"하와이 렌터카 보험 추가할까?","고객님 자차보험 추가 시 더 안전한 이용 가능합니다"
388,"홍콩 추천 일정 2박3일 어떻게 짜?","고객님 디즈니+쇼핑코스로 많이 구성하십니다"
389,"푸켓 마사지 1시간이면 충분?","고객님 1시간 기준 기본 마사지 프로그램으로 적당합니다"
390,"세부 현지 식당 위생 괜찮아?","고객님 평점 좋은 매장 이용 시 무리 없습니다"
391,"다낭 스윙포토 유명해?","고객님 우붓스윙과 더불어 인기 포토코스입니다"
392,"오사카 아울렛 어디가 좋아?","고객님 린쿠/미츠이 아울렛 추천드립니다"
393,"하와이 일정비용 얼마나 해?","고객님 성수기 기준 1인 200만원대 예상됩니다"
394,"홍콩 카지노 있나?","고객님 홍콩은 카지노 없으며 마카오 이동 시 이용 가능합니다"
395,"푸켓 브런치 맛집 알려줘","고객님 카론 비치 주변 브런치 카페 추천드립니다"
396,"세부 호핑 사진 USB로 줘?","고객님 디지털 파일로 전달드리고 있습니다"
397,"다낭 선셋 크루즈 괜찮지?","고객님 커플고객 만족도 높아 추천드립니다"
398,"오사카 야경 포인트 어디?","고객님 우메다 스카이빌딩 전망대 추천드립니다"
399,"하와이 시내 교통 불편하진 않아?","고객님 버스·우버 모두 편리하게 이용 가능하십니다"
400,"홍콩 공항세 포함상품 맞지?","고객님 해당요금은 공항세 포함 금액입니다"
401,"다낭 골프장 카트비 따로 내야해?","고객님 카트비는 별도 지불 방식이며 현장 결제로 안내됩니다"
402,"세부 물놀이할때 구명조끼 빌려줘?","고객님 호핑투어 이용 시 구명조끼 무료로 제공됩니다"
403,"푸켓 파통비치 밤늦게도 안전해?","고객님 유동인구 많아 비교적 안전하나 밤늦은 귀가는 주의 권장드립니다"
404,"하와이 와이키키 근처 주차 힘들어?","고객님 호텔 유료주차 또는 공영주차장 이용 권장드립니다"
405,"홍콩 구룡반도 야경 포인트 알려줘","고객님 애비뉴오브스타즈 전망이 좋습니다"
406,"오사카 료칸 온천 포함 패키지 있어?","고객님 온천 포함 료칸 패키지 선택 가능합니다"
407,"다낭 에메랄드 샌즈 리조트 어때?","고객님 가성비 좋고 수영장 컨디션 양호하다는 평이 많습니다"
408,"세부 마사지샵 픽업 가능해?","고객님 일부 샵은 무료 픽업 제공 가능합니다"
409,"푸켓 키즈풀 깊지 않지?","고객님 유아 풀은 수심 얕게 운영됩니다"
410,"하와이 쇼핑 택스리펀드 돼?","고객님 하와이는 택스 리펀드 제도 미운영입니다"
411,"홍콩 공항에서 호텔까지 택시 얼마야?","고객님 약 40~50분, 4~5만원대 예상됩니다"
412,"오사카 1월 옷 어떻게 입어?","고객님 겨울기온이라 패딩 준비 권장드립니다"
413,"다낭 공항픽업 포함이라고 했던거 맞지?","고객님 네 픽업 포함 상품으로 확정되어 있습니다"
414,"세부 현지환전 어디가 괜찮아?","고객님 아얄라몰 환전소 평가 좋습니다"
415,"푸켓 섬투어 배 많이 흔들려?","고객님 잔잔한 편이나 멀미약 준비 권장드립니다"
416,"하와이 돌핀투어 수영 못해도 가능?","고객님 구명조끼 착용 시 이용 가능하십니다"
417,"홍콩 디즈니 입장권 미리 사야돼?","고객님 성수기에는 사전 구매를 추천드립니다"
418,"오사카 스키장 근교에 있어?","고객님 교토 인근 스키장 이동 가능하십니다"
419,"다낭 반미투어 진짜 맛있어?","고객님 만족 후기 많아 추천드립니다"
420,"세부 선셋요트 몇시에 타?","고객님 보통 16~17시 출항합니다"
421,"푸켓 7월 비 많이와?","고객님 우기라 소나기 빈도 높은 편입니다"
422,"하와이 숙소 수영장 몇시까지야?","고객님 평균 21시까지 운영됩니다"
423,"홍콩 카드결제 많이 받아?","고객님 대부분 매장 카드 사용 가능합니다"
424,"오사카 유니버셜 퍼레이드 시간 알려줘","고객님 시즌별 시간 상이해 당일 앱 확인 권장드립니다"
425,"다낭 반미365 어디쯤 있어?","고객님 미케비치 기준 도보 10분 내외입니다"
426,"세부 호핑 안전해?","고객님 안전장비 착용과 가이드 안내로 안전하게 진행됩니다"
427,"푸켓 스노클링 포인트 물고기 많아?","고객님 투명도 높아 다양한 어종 관찰 가능합니다"
428,"하와이 겨울 우비 필요해?","고객님 소나기 대비 얇은 우비 준비 추천드립니다"
429,"홍콩 야경투어 어린이도 가도 돼?","고객님 가족 단위 이용 많아 문제 없습니다"
430,"오사카 고베야 키타?","고객님 전철 이동 약 25분이면 도착 가능합니다"
431,"다낭 마사지 90분 vs 120분 뭐가 좋아?","고객님 120분 코스가 더 여유롭게 받으실 수 있습니다"
432,"세부 조인투어 사람 많아?","고객님 시즌 중엔 인원 많은 편입니다"
433,"푸켓 돌핀월드 가볼만해?","고객님 아이들과 방문 시 만족도 높습니다"
434,"하와이 투어 한국어가이드 있어?","고객님 한인가이드 배정 가능한 상품 다수 있습니다"
435,"홍콩 쇼핑시즌 언제야?","고객님 겨울 세일 시즌 12~1월 할인 폭 큽니다"
436,"오사카 식당 예약해줄 수 있어?","고객님 원하시면 예약대행 도와드리겠습니다"
437,"다낭 풀빌라 사진이랑 실물 차이 커?","고객님 전반적으로 실물 만족도 높은 편입니다"
438,"세부 리조트 조식 맛있어?","고객님 리뷰 평점 좋고 메뉴 다양합니다"
439,"푸켓 라운딩 캐디팁 얼마정도야?","고객님 1인 400~500바트 권장드립니다"
440,"하와이 와이키키해변 파라솔 대여돼?","고객님 현장에서 유료대여 가능합니다"
441,"홍콩 스낵 뭐가 유명함?","고객님 에그타르트·짜장면 건면 인기가 많습니다"
442,"오사카 난바랑 우메다 뭐가 중심이야?","고객님 관광은 난바, 비즈니스는 우메다 중심입니다"
443,"다낭 가기 좋은 계절 언제야?","고객님 건기인 2~4월이 여행 최적기입니다"
444,"세부 면세점 종류 많아?","고객님 공항면세점 규모는 적당하며 기초브랜드는 갖추고 있습니다"
445,"푸켓 파통비치 물놀이 괜찮아?","고객님 파도 적당해 수영 즐기기 좋습니다"
446,"하와이 호놀룰루 야경 어디가 예뻐?","고객님 탕간루아 전망대 야경이 유명합니다"
447,"홍콩 란콰이퐁 주말 사람 많아?","고객님 주말엔 매우 붐비는 편입니다"
448,"오사카 교토 당일치기 충분?","고객님 주요 포인트만 방문하시면 가능합니다"
449,"다낭 여행 3박이면 넉넉해?","고객님 휴양+관광 조합으로 적절한 일정입니다"
450,"세부 ATV 아이도 타?","고객님 신장/연령 조건 충족 시 동승 이용 가능합니다"
451,"푸켓 신혼여행 어디 추천해?","고객님 카론·카말라 비치 풀빌라 선호 많습니다"
452,"하와이 서핑 강습 어려워?","고객님 초보자 과정 운영하여 무리 없이 참여 가능하십니다"
453,"홍콩 침사추이 카페 추천해줘","고객님 더알리·래빗버거스 인기 많습니다"
454,"오사카 USJ 인근 호텔 있어?","고객님 파크프론트호텔 접근성 가장 좋습니다"
455,"다낭 야시장 볼거 많아?","고객님 먹거리·소품 다양해 구경 재미있습니다"
456,"세부 물놀이사진 찍어주나?","고객님 staff 촬영 후 파일 제공해드립니다"
457,"푸켓 반딧불 몇시쯤 가야돼?","고객님 해지기 전 출발이 가장 좋습니다"
458,"하와이 섬투어 시간 얼마나 걸려?","고객님 약 5~6시간 소요됩니다"
459,"홍콩 마카오 당일 가능?","고객님 페리 이용 시 당일 왕복도 가능합니다"
460,"오사카 쇼핑 어디가 좋아해?","고객님 신사이바시 쇼핑몰이 가장 활성화되어 있습니다"
461,"다낭 우기 언젠데?","고객님 9~12월 우기로 비 빈도 높습니다"
462,"세부 스노클링 장비 대여해?","고객님 구명조끼·마스크 기본 제공됩니다"
463,"푸켓 럭셔리 리조트 좀 알려줘","고객님 트리사라·안다라 상위 등급 추천드립니다"
464,"하와이 신혼여행 4박 어때?","고객님 4박 일정이면 투어+휴식 균형 좋습니다"
465,"홍콩 타이청 에그타르트 맛있음?","고객님 대표 맛집으로 리뷰 높습니다"
466,"오사카 야시장 있어?","고객님 덴덴타운 등 야간 상점가 운영됩니다"
467,"다낭 호이안 야경 사진 잘 나와?","고객님 랜턴거리 촬영 포인트 인기있습니다"
468,"세부 마사지 팁 얼마주냐?","고객님 1인 3~5달러 권장드립니다"
469,"푸켓 스파 예약 미리해야해?","고객님 인기 시간대는 사전예약 추천드립니다"
470,"하와이 마카다미아 선물 괜찮아?","고객님 대표 기념품으로 가장 많이 구매하십니다"
471,"홍콩 스타페리 꼭 타야됨?","고객님 저렴한 비용으로 야경 감상 가능해 추천드립니다"
472,"오사카 교통 복잡해?","고객님 노선 다양하지만 앱 이용시 편리하십니다"
473,"다낭 리조트 조식 포함이야?","고객님 요청하신 상품은 조식 포함입니다"
474,"세부 투어 날씨 영향 커?","고객님 우천 시 대체코스 안내드립니다"
475,"푸켓 호핑투어 난이도 높아?","고객님 기본 체력으로 무리 없는 일정입니다"
476,"하와이 섬간 이동 비행기 비싸?","고객님 시즌 따라 변동 있으나 평균 15~30만원선입니다"
477,"홍콩 환전 공항이 나아? 시내가 나아?","고객님 시내 환율이 더 유리합니다"
478,"오사카 성 입장료 있지?","고객님 약 2만원대 입장료 있습니다"
479,"다낭 반일 투어도 있어?","고객님 오전/오후 단독 반일투어 가능합니다"
480,"세부 와이파이 속도 괜찮아?","고객님 호텔별 상이하나 대부분 원활합니다"
481,"푸켓 쇼핑은 어디가 좋아?","고객님 정실론몰 추천드립니다"
482,"하와이 우버 잘 잡혀?","고객님 도시권 이동은 우버 수급 원활합니다"
483,"홍콩 공항면세 괜찮아?","고객님 브랜드 다양해 쇼핑 적합합니다"
484,"오사카 고베야 야경투어 많이 가?","고객님 야경 명소로 방문 수요 높습니다"
485,"다낭 야시장 먹거리 뭐 추천?","고객님 미트꼬치·코코넛커피 인기 있습니다"
486,"세부 투어 신청 언제까지 가능?","고객님 출발 하루 전까지 신청 가능하십니다"
487,"푸켓 해양날씨 변덕 많지?","고객님 우기엔 변동 가능성 있어 일정유지 전 확인드립니다"
488,"하와이 스노클링 포인트 추천해줘","고객님 하나우마베이 가장 인기 있습니다"
489,"홍콩 공항철도 빠르지?","고객님 시내까지 약 25분으로 빠른편입니다"
490,"오사카 야경 전망대 어디야?","고객님 아베노하루카스 전망대 인기있습니다"
491,"다낭 리조트 수영장 크지?","고객님 대형 메인풀 보유 리조트 많습니다"
492,"세부 마사지 밤늦게도 받아져?","고객님 인기샵 기준 24시 운영 사례 있습니다"
493,"푸켓 오가닉 스파 좋아?","고객님 자연 컨셉으로 평 좋은 편입니다"
494,"하와이 물가 많이 비싸?","고객님 지역 특성상 한국 대비 높은 편입니다"
495,"홍콩 스낵 쇼핑 어디서해?","고객님 웰컴마트 과자코너 인기입니다"
496,"오사카 6월 비 자주와?","고객님 장마철로 비 빈도 높습니다"
497,"다낭 로맨틱 디너 어디야?","고객님 바다뷰 레스토랑 추천드립니다"
498,"세부 선셋요트 음악 있어?","고객님 라운지 음악 제공됩니다"
499,"푸켓 ATV 비오면 취소돼?","고객님 강풍 시 취소되며 환불 진행됩니다"
500,"하와이 공항픽업 포함 맞지?","고객님 예약하신 상품은 픽업 포함 구성입니다"